Date,Real Total Stock Return,Real Total Bonds Return
1912.07,0.005182672,0.000528839
1912.08,0.017011358,-0.009247070
1912.09,-0.000646552,-0.009116556
1912.1,0.002014030,0.000635584
1912.11,-0.007120596,0.000671142
1912.12,-0.022366679,0.010519584
1913.01,-0.013933726,-0.008975729
1913.02,-0.031182796,0.005645293
1913.03,-0.014492754,0.005627320
1913.04,0.003409091,0.005609350
1913.05,-0.012678419,0.015958304
1913.06,-0.055352667,-0.004687534
1913.07,0.008185301,-0.004601667
1913.08,0.031591738,0.005537503
1913.09,0.004059172,-0.004535646
1913.1,-0.026963658,0.005501599
1913.11,-0.030278330,-0.004471631
1913.12,0.013763975,0.015520367
1914.01,0.045968076,0.005447770
1914.02,0.028102611,0.013056443
1914.03,-0.014298349,0.002931601
1914.04,-0.009425285,0.013171378
1914.05,0.000616800,-0.007187691
1914.06,-0.000305998,0.002948770
1914.07,-0.060281365,-0.007075053
1914.08,-0.014927151,-0.016705672
1914.09,0.004720052,0.002965937
1914.1,0.014612985,0.012902072
1914.11,-0.005237588,-0.006855729
1914.12,-0.028890780,0.012913630
1915.01,0.022458050,0.002988827
1915.02,0.001242391,0.014862425
1915.03,0.040925287,0.014951545
1915.04,0.069157497,-0.005258121
1915.05,-0.028711655,-0.005170766
1915.06,0.015775681,0.004765276
1915.07,0.000682007,0.004753027
1915.08,0.046886184,0.004740779
1915.09,0.041392216,0.004728531
1915.1,0.049160959,-0.005133875
1915.11,0.028837501,-0.005050369
1915.12,0.005902044,0.004691795
1916.01,-0.021448461,-0.004980828
1916.02,-0.009899071,0.002152462
1916.03,-0.008604210,-0.007378621
1916.04,-0.015975623,-0.007275353
1916.05,0.016905996,-0.007173767
1916.06,0.004768219,-0.007073815
1916.07,-0.009385684,0.002219218
1916.08,0.002962319,-0.006962228
1916.09,0.026747514,-0.015812570
1916.1,0.017296200,-0.015479840
1916.11,0.009760071,-0.015158220
1916.12,-0.043899940,-0.006354443
1917.01,-0.027003547,-0.006267363
1917.02,-0.075076998,-0.023794506
1917.03,0.036475637,0.001263019
1917.04,-0.056797606,-0.046390830
1917.05,-0.043408278,-0.014329334
1917.06,0.010406899,-0.014062444
1917.07,-0.006509408,0.017015820
1917.08,-0.038471923,-0.014010082
1917.09,-0.063259335,-0.021165887
1917.1,-0.061442263,-0.013387115
1917.11,-0.075963542,0.001475740
1917.12,-0.040143393,-0.013118166
1918.01,0.045728291,-0.019932467
1918.02,0.030893525,-0.002849604
1918.03,-0.005734474,0.011441507
1918.04,-0.016228783,-0.009881128
1918.05,0.017794570,-0.016519075
1918.06,-0.005319198,-0.009409364
1918.07,-0.011898307,-0.022353409
1918.08,-0.003704296,-0.015318721
1918.09,-0.017814228,-0.014949547
1918.1,0.029293076,-0.014594395
1918.11,0.012608169,-0.014252490
1918.12,-0.025909843,-0.007946891
1919.01,-0.000351266,0.004220804
1919.02,0.028501514,0.019157306
1919.03,0.023740250,-0.011537790
1919.04,0.020300458,-0.017273007
1919.05,0.061908084,-0.011101149
1919.06,0.031865478,0.000780182
1919.07,0.007706115,-0.027940750
1919.08,-0.078426010,-0.016107069
1919.09,0.015121670,-0.004728214
1919.1,0.038515247,-0.015657084
1919.11,-0.045957966,-0.020671492
1919.12,-0.045217753,-0.020176108
1920.01,-0.025772715,-0.019699689
1920.02,-0.087161430,-0.006930541
1920.03,0.064850066,-0.006817463
1920.04,-0.032510701,-0.026278769
1920.05,-0.071457764,-0.011226018
1920.06,-0.026175296,-0.011007705
1920.07,0.009018708,0.008227842
1920.08,-0.009948040,0.028127068
1920.09,0.056790844,0.018472482
1920.1,0.011764668,0.008472214
1920.11,-0.040528578,0.008506413
1920.12,-0.065001516,0.024136864
1921.01,0.072352655,0.024581307
1921.02,0.031418993,0.042289465
1921.03,-0.014266217,0.014851178
1921.04,0.021499442,0.020448816
1921.05,0.059709392,0.032065193
1921.06,-0.069120475,0.014952134
1921.07,-0.002603413,0.003477252
1921.08,-0.006167688,0.009139779
1921.09,0.042692691,0.020633379
1921.1,0.019519667,0.009061886
1921.11,0.065594084,0.014822023
1921.12,0.046856834,0.014816542
1922.01,0.027685360,0.032825923
1922.02,0.027263699,0.003180336
1922.03,0.055300425,0.015198783
1922.04,0.065855943,0.003188856
1922.05,0.043857085,0.003193116
1922.06,-0.004640485,0.003197376
1922.07,0.005901686,-0.002769803
1922.08,0.054992850,0.015292714
1922.09,0.030742733,0.003210155
1922.1,0.020541819,-0.002792857
1922.11,-0.050807975,-0.002752865
1922.12,-0.003375471,-0.002713296
1923.01,0.024586751,0.009198785
1923.02,0.047502809,0.005645522
1923.03,0.020788434,0.005627020
1923.04,-0.036165706,-0.000341825
1923.05,-0.042506410,0.005590026
1923.06,-0.038752064,-0.000343592
1923.07,-0.039658448,-0.006139430
1923.08,0.016281858,0.011414883
1923.09,0.005692829,-0.000329939
1923.1,-0.015064813,-0.000314516
1923.11,0.035370486,0.005479136
1923.12,0.039197904,0.005460668
1924.01,0.037930799,0.005442203
1924.02,0.015432595,0.010584608
1924.03,-0.008374155,0.010605861
1924.04,-0.012070335,0.010627515
1924.05,0.001748039,0.004704582
1924.06,0.024203070,0.004691752
1924.07,0.045431131,-0.001196393
1924.08,0.045457641,0.010575895
1924.09,-0.010593415,-0.001221897
1924.1,-0.013814912,-0.001200490
1924.11,0.060864367,0.004627618
1924.12,0.052576771,-0.001192227
1925.01,0.045884186,0.004601973
1925.02,0.018793041,0.010291643
1925.03,-0.027502695,-0.001365839
1925.04,-0.000263041,0.010268241
1925.05,0.030735626,-0.001388971
1925.06,0.010738970,-0.007073642
1925.07,0.020583107,-0.006955436
1925.08,0.017892643,0.004382015
1925.09,0.027462963,0.004370386
1925.1,0.037298726,0.004358758
1925.11,0.018039459,-0.012391988
1925.12,0.026092028,0.009946317
1926.01,0.019311798,0.004323878
1926.02,0.005632411,0.005420913
1926.03,-0.058522909,0.011048748
1926.04,-0.028952360,-0.000236692
1926.05,0.017279379,0.011007573
1926.06,0.058172297,0.011018903
1926.07,0.058565235,0.016807918
1926.08,0.049977685,0.011075686
1926.09,0.013657992,-0.000466779
1926.1,-0.023877393,-0.000454465
1926.11,0.011676951,-0.000442515
1926.12,0.027103867,0.005216360
1927.01,0.009033708,0.016683890
1927.02,0.029660516,0.008617127
1927.03,0.025598981,0.008649746
1927.04,0.028819394,0.002852217
1927.05,0.032754809,-0.002911989
1927.06,0.005505952,-0.008545198
1927.07,0.044082397,0.020240607
1927.08,0.063436233,0.008679971
1927.09,0.054536472,-0.002948055
1927.1,-0.017306148,-0.002915428
1927.11,0.032529300,0.008644181
1927.12,0.027207894,0.002846684
1928.01,0.007716208,0.002845992
1928.02,0.003343500,0.012585164
1928.03,0.057496151,0.000899736
1928.04,0.066651598,0.000920492
1928.05,0.028364608,-0.004878180
1928.06,-0.040043860,0.006815575
1928.07,0.010938924,0.000982743
1928.08,0.035939892,0.001003488
1928.09,0.061356277,-0.010548305
1928.1,0.029556532,0.006864997
1928.11,0.070846065,0.001065703
1928.12,0.012863299,0.006940743
1929.01,0.076961843,0.001107166
1929.02,0.008145615,0.005154336
1929.03,0.026544736,0.011047984
1929.04,0.002917472,0.011063949
1929.05,0.012010192,-0.000814729
1929.06,0.016074275,-0.000798943
1929.07,0.079408482,-0.006559374
1929.08,0.059603230,0.005040924
1929.09,0.042469546,0.005022037
1929.1,-0.103221512,0.005003155
1929.11,-0.261879243,0.004984277
1929.12,0.049840714,0.010808226
1930.01,0.024221129,0.010823416
1930.02,0.072646578,0.008285993
1930.03,0.047385263,0.008324446
1930.04,0.060604282,-0.003499784
1930.05,-0.050930066,0.008331571
1930.06,-0.092321267,0.008370439
1930.07,-0.005760626,0.014484487
1930.08,-0.002949433,0.008486050
1930.09,-0.002607653,-0.003624267
1930.1,-0.128458847,0.008493175
1930.11,-0.062308090,0.008533782
1930.12,-0.044392622,0.021103724
1931.01,0.048522111,0.015037703
1931.02,0.095091486,0.013141447
1931.03,0.030302748,0.006837299
1931.04,-0.084994535,0.006905633
1931.05,-0.079796754,0.013556034
1931.06,-0.013977531,0.013756384
1931.07,0.038492550,0.000531437
1931.08,-0.024928472,0.000558201
1931.09,-0.138056755,0.007255525
1931.1,-0.121739322,0.007327226
1931.11,0.034316780,0.014252586
1931.12,-0.175494746,0.007519070
1932.01,0.012040414,0.021685470
1932.02,0.013438014,0.019893181
1932.03,0.018360528,0.012789860
1932.04,-0.226991627,0.012819398
1932.05,-0.100557586,0.020242753
1932.06,-0.117880591,0.012934721
1932.07,0.061378407,0.005519079
1932.08,0.524293536,0.012945256
1932.09,0.111598383,0.012978733
1932.1,-0.125909341,0.013013051
1932.11,0.003881077,0.013048229
1932.12,-0.019284283,0.013084286
1933.01,0.061849269,0.020974896
1933.02,-0.098744489,0.019908786
1933.03,0.011229101,0.012052974
1933.04,0.112359551,0.004071859
1933.05,0.293118045,0.004059667
1933.06,0.166521674,-0.003858410
1933.07,0.051459676,-0.026622281
1933.08,-0.053676795,-0.003583140
1933.09,-0.004881287,0.004010907
1933.1,-0.093809074,0.003998720
1933.11,0.027966841,0.003986534
1933.12,0.023176551,0.003974349
1934.01,0.060855901,0.003962165
1934.02,0.069394573,-0.002609985
1934.03,-0.047979240,0.004926141
1934.04,0.020199410,0.004906288
1934.05,-0.098258547,0.004886440
1934.06,0.009442150,-0.002632407
1934.07,-0.043546278,0.004846760
1934.08,-0.035139916,0.004826929
1934.09,-0.034488459,-0.009969472
1934.1,0.019586865,0.012230151
1934.11,0.032115456,0.004767467
1934.12,0.018139601,0.012245775
1935.01,-0.010715760,-0.010047555
1935.02,-0.033296022,-0.003988383
1935.03,-0.059298441,0.003326071
1935.04,0.071515491,-0.003953502
1935.05,0.082626595,0.003307751
1935.06,0.049313120,0.010621939
1935.07,0.055994730,0.003289432
1935.08,0.071048513,0.003280274
1935.09,0.024333040,0.003271115
1935.1,0.029931094,0.003261958
1935.11,0.089225067,-0.004017148
1935.12,0.003003579,0.003243643
1936.01,0.058282209,0.003234487
1936.02,0.060380329,0.001990553
1936.03,0.031645220,0.009306477
1936.04,0.004243310,0.001994771
